unidade;ano;mes;partos;cesareas
HRJP;2021;7;107;53
HRJP;2021;8;120;54
HRJP;2021;9;121;46
HRJP;2021;10;106;52
HRJP;2021;11;105;48
HRJP;2021;12;102;49
HRJP;2022;1;124;55
HRJP;2022;2;110;51
HRJP;2022;3;116;53
HRJP;2022;4;128;59
HRJP;2022;5;119;56
HRJP;2022;6;108;50
HRJP;2022;7;118;62
HRJP;2022;8;99;44
HRJP;2022;9;104;43
HRJP;2022;10;83;33
HRJP;2022;11;96;38
HRJP;2022;12;110;61
HRJP;2023;1;109;54
HRJP;2023;2;97;44
HRJP;2023;3;125;50
HRJP;2023;4;118;52
HRJP;2023;5;114;58
HRJP;2023;6;109;65
HRJP;2023;7;110;56
HRJP;2023;8;94;48
HRJP;2023;9;98;54
HRJP;2023;10;109;60
HRJP;2023;11;120;54
HRJP;2023;12;105;67
HRJP;2024;1;115;55
HRJP;2024;2;99;54
HRJP;2024;3;99;45
HRJP;2024;4;113;58
HRJP;2024;5;117;53
HRJP;2024;6;124;75
HRJP;2024;7;102;49
HRJP;2024;8;101;52
HRJP;2024;9;120;59
HRJP;2024;10;118;62
HRJP;2024;11;89;25
HRJP;2024;12;99;45
HRJP;2025;1;113;54
HRJP;2025;2;110;53
HRJP;2025;3;160;79
HRJP;2025;4;135;56
HRJP;2025;5;139;71
HRJP;2025;6;127;62
HRJP;2025;7;131;69
HRJP;2025;8;139;67
HRJP;2025;9;108;54
HRJP;2025;10;123;59
HRJP;2025;11;122;65
HRJP;2025;12;114;56
HRJP;2026;1;131;67
HRJP;2026;2;128;59
HRJP;2026;3;122;67
MOV;2019;1;309;101
MOV;2019;2;249;72
MOV;2019;3;298;93
MOV;2019;4;281;86
MOV;2019;5;296;80
MOV;2019;6;253;87
MOV;2019;7;270;72
MOV;2019;8;272;75
MOV;2019;9;277;77
MOV;2019;10;275;71
MOV;2019;11;281;84
MOV;2019;12;262;70
MOV;2020;1;257;72
MOV;2020;2;261;72
MOV;2020;3;272;75
MOV;2020;4;283;101
MOV;2020;5;305;112
MOV;2020;6;285;91
MOV;2020;7;281;77
MOV;2020;8;276;74
MOV;2020;9;269;90
MOV;2020;10;247;77
MOV;2020;11;272;92
MOV;2020;12;260;85
MOV;2021;1;255;80
MOV;2021;2;257;89
MOV;2021;3;289;84
MOV;2021;4;294;93
MOV;2021;5;318;108
MOV;2021;6;298;100
MOV;2021;7;294;99
MOV;2021;8;311;107
MOV;2021;9;277;102
MOV;2021;10;236;73
MOV;2021;11;269;78
MOV;2021;12;235;73
MOV;2022;1;245;72
MOV;2022;2;224;71
MOV;2022;3;278;83
MOV;2022;4;236;64
MOV;2022;5;277;88
MOV;2022;6;253;73
MOV;2022;7;265;92
MOV;2022;8;239;81
MOV;2022;9;237;80
MOV;2022;10;236;93
MOV;2022;11;245;103
MOV;2022;12;281;97
MOV;2023;1;274;114
MOV;2023;2;270;98
MOV;2023;3;314;127
MOV;2023;4;508;166
MOV;2023;5;269;92
MOV;2023;6;274;87
MOV;2023;7;257;88
MOV;2023;8;286;99
MOV;2023;9;270;112
MOV;2023;10;266;91
MOV;2023;11;275;103
MOV;2023;12;266;93
MOV;2024;1;249;88
MOV;2024;2;291;101
MOV;2024;3;314;119
MOV;2024;4;266;96
MOV;2024;5;283;116
MOV;2024;6;253;99
MOV;2024;7;248;90
MOV;2024;8;254;102
MOV;2024;9;268;107
MOV;2024;10;254;109
MOV;2024;11;216;82
MOV;2024;12;235;97
MOV;2025;1;282;106
MOV;2025;2;244;91
MOV;2025;3;296;113
MOV;2025;4;296;113
MOV;2025;5;296;119
MOV;2025;6;286;99
MOV;2025;7;255;92
MOV;2025;8;262;97
MOV;2025;9;248;91
MOV;2025;10;266;92
MOV;2025;11;246;87
MOV;2025;12;250;95
MOV;2026;1;250;95
MOV;2026;2;252;82
MOV;2026;3;291;101
